Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Poland,Price / Poland,Compare At Price / Poland,Included / Nike,Price / Nike,Compare At Price / Nike,Status
short-sleeve-unisex-t-shirt,,,,,,,,,Heather Raspberry,,L,,,3801181_8525,164.427234125,shopify,deny,manual,74.59,74.59,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0036/3990/2271/products/unisex-staple-t-shirt-heather-raspberry-front-61e91c08c2567.jpg?v=1642667025,oz,,62.44,,,,,,,
short-sleeve-unisex-t-shirt,,,,,,,,,Heather Raspberry,,XL,,,3801181_8526,170.09713875,shopify,deny,manual,74.59,74.59,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0036/3990/2271/products/unisex-staple-t-shirt-heather-raspberry-front-61e91c08c2567.jpg?v=1642667025,oz,,62.44,,,,,,,
short-sleeve-unisex-t-shirt,,,,,,,,,Heather Raspberry,,2XL,,,3801181_8527,201.2816141875,shopify,deny,manual,83.63,83.63,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0036/3990/2271/products/unisex-staple-t-shirt-heather-raspberry-front-61e91c08c2567.jpg?v=1642667025,oz,,70.46,,,,,,,
short-sleeve-unisex-t-shirt,,,,,,,,,Heather Raspberry,,3XL,,,3801181_8528,212.6214234375,shopify,deny,manual,90.41,90.41,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0036/3990/2271/products/unisex-staple-t-shirt-heather-raspberry-front-61e91c08c2567.jpg?v=1642667025,oz,,79.88,,,,,,,
short-sleeve-unisex-t-shirt,,,,,,,,,Heather Raspberry,,4XL,,,3801181_8529,255.145708125,shopify,deny,manual,99.45,99.45,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0036/3990/2271/products/unisex-staple-t-shirt-heather-raspberry-front-61e91c08c2567.jpg?v=1642667025,oz,,88.36,,,,,,,
short-sleeve-unisex-t-shirt,,,,,,,,,Heather Orange,,S,,,3801181_8516,130.407806375,shopify,deny,manual,74.59,74.59,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0036/3990/2271/products/unisex-staple-t-shirt-heather-orange-front-61e91c08c2940.jpg?v=1642667026,oz,,62.44,,,,,,,
short-sleeve-unisex-t-shirt,,,,,,,,,Heather Orange,,M,,,3801181_8517,141.747615625,shopify,deny,manual,74.59,74.59,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0036/3990/2271/products/unisex-staple-t-shirt-heather-orange-front-61e91c08c2940.jpg?v=1642667026,oz,,62.44,,,,,,,
short-sleeve-unisex-t-shirt,,,,,,,,,Heather Orange,,L,,,3801181_8518,164.427234125,shopify,deny,manual,74.59,74.59,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0036/3990/2271/products/unisex-staple-t-shirt-heather-orange-front-61e91c08c2940.jpg?v=1642667026,oz,,62.44,,,,,,,
short-sleeve-unisex-t-shirt,,,,,,,,,Heather Orange,,XL,,,3801181_8519,170.09713875,shopify,deny,manual,74.59,74.59,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0036/3990/2271/products/unisex-staple-t-shirt-heather-orange-front-61e91c08c2940.jpg?v=1642667026,oz,,62.44,,,,,,,
short-sleeve-unisex-t-shirt,,,,,,,,,Heather Orange,,2XL,,,3801181_8520,201.2816141875,shopify,deny,manual,83.63,83.63,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0036/3990/2271/products/unisex-staple-t-shirt-heather-orange-front-61e91c08c2940.jpg?v=1642667026,oz,,70.46,,,,,,,
short-sleeve-unisex-t-shirt,,,,,,,,,Heather Orange,,3XL,,,3801181_8521,212.6214234375,shopify,deny,manual,90.41,90.41,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0036/3990/2271/products/unisex-staple-t-shirt-heather-orange-front-61e91c08c2940.jpg?v=1642667026,oz,,79.88,,,,,,,
short-sleeve-unisex-t-shirt,,,,,,,,,Heather Orange,,4XL,,,3801181_8522,255.145708125,shopify,deny,manual,99.45,99.45,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0036/3990/2271/products/unisex-staple-t-shirt-heather-orange-front-61e91c08c2940.jpg?v=1642667026,oz,,88.36,,,,,,,
you-tube-clips-and-movie,YOU TUBE CLIPS AND MOVIE,"<a href=""https://www.youtube.com/channel/UCqECyfutyADjk5XeVB5w-4w?view_as=subscriber"" title=""KRABOWE SKORUPKI - YouTube"">https://www.youtube.com/channel/UCqECyfutyADjk5XeVB5w-4w?view_as=subscriber</a>
<div id=""gtx-trans"" style=""position: absolute; left: -25px; top: 28px;"">
<div class=""gtx-trans-icon""></div>
</div>",Krabowe Skorupki,,YOU TUBE,"spo-default, spo-disabled",true,Title,Default Title,,,,,72102909_037,0.0,shopify,continue,manual,10000.00,10000.00,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/DSGS.jpg?v=1641468888,1,,false,,,,,,,,true,,,,,,,kg,,,true,,,true,,,active
